id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2
141,141,bankowość,банковское дело,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: bankowość.,Стоит хорошо понимать понятие: банковское дело.
142,142,konto osobiste,личный счёт,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: konto osobiste.,Стоит хорошо понимать понятие: личный счёт.
143,143,przelew,банковский перевод,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: przelew.,Стоит хорошо понимать понятие: банковский перевод.
144,144,gotówka,наличные,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: gotówka.,Стоит хорошо понимать понятие: наличные.
145,145,bezgotówkowy,безналичный,adjective,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: bezgotówkowy.,Стоит хорошо понимать понятие: безналичный.
146,146,transakcja,транзакция,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: transakcja.,Стоит хорошо понимать понятие: транзакция.
147,147,płatność,платёж,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: płatność.,Стоит хорошо понимать понятие: платёж.
148,148,zadłużenie,задолженность,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: zadłużenie.,Стоит хорошо понимать понятие: задолженность.
149,149,budżet,бюджет,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: budżet.,Стоит хорошо понимать понятие: бюджет.
150,150,plan finansowy,финансовый план,noun,To słowo pojawia się często w pracy i codziennym życiu.,Это слово часто встречается в работе и повседневной жизни.,Warto dobrze rozumieć pojęcie: plan finansowy.,Стоит хорошо понимать понятие: финансовый план.
151,151,mieszkanie,квартира,noun,Kupiliśmy mieszkanie w spokojnej okolicy.,Мы купили квартиру в спокойном районе.,Szukam mieszkania blisko pracy.,Я ищу квартиру недалеко от работы.
